Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P75974	25,095	b1145 JW1131	
P56100	4,042	b4515 JW0724	SUBUNIT: May be a subunit of cytochrome bd-I ubiquinol oxidase. Probably interacts with CydA and CydB. {ECO:0000269|PubMed:23749980}.
P19636	31,782	b2440 JW2433	SUBUNIT: The basic unit is a heterodimer, which further associates into a trimer of heterotetramers (PubMed:20519496, PubMed:21142024, PubMed:29797764, PubMed:19762342). 6 large subunits form a core ring with 6 small subunits projecting outwards (Probable). {ECO:0000269|PubMed:19762342, ECO:0000269|PubMed:20519496, ECO:0000269|PubMed:21142024, ECO:0000269|PubMed:29797764, ECO:0000305|PubMed:20519496}.
P0A6Q3	18,969	b0954 JW0937	SUBUNIT: Homodimer.
P0ABY4	19,700	b2895 JW2863	
P0ABP6	24,510	b2317 JW2314	
P68646	10,479	b0044 JW0043	
P0ACF4	9,226	b0440 JW0430	SUBUNIT: Heterodimer of an alpha and a beta chain. {ECO:0000269|PubMed:227733}.
Q47208	58,596	b0518 JW0506	
P64638	8,660	b3410 JW3373	
P0ACN7	37,820	b3934 JW3905	
P16701	30,292	b2424 JW2417	SUBUNIT: The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP). {ECO:0000305}.
P42628	48,315	b3110 JW5519	
P0AEE8	32,100	b3387 JW3350	
P0A6P1	30,423	b0170 JW0165	SUBUNIT: Heterotetramer composed of two EF-Ts.EF-Tu dimer complexes. {ECO:0000269|PubMed:8596629}.; SUBUNIT: (Microbial infection) In case of infection by bacteriophage Qbeta, part of the viral RNA-dependent RNA polymerase complex, the other subunits are the viral replicase catalytic subunit (AC P14647), host ribosomal protein S1 and EF-Tu (PubMed:816798). {ECO:0000269|PubMed:20534494, ECO:0000269|PubMed:20798060, ECO:0000269|PubMed:22245970, ECO:0000269|PubMed:22884418, ECO:0000269|PubMed:25122749, ECO:0000269|PubMed:816798}.
P50465	29,845	b0714 JW0704	
P77488	67,617	b0420 JW0410	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17135236}.
P31120	47,544	b3176 JW3143	
P71301	23,274	b0294 JW5031	
P0ACC3	12,100	b0156 JW0152	SUBUNIT: Homodimer. {ECO:0000305}.
P0AEJ8	9,956	b2456 JW2440	SUBUNIT: Has been crystallized as a homohexamer with an acidic central pore with a diameter of 26 Angstroms on one side and 14 Angstroms on the other (PubMed:17588214, PubMed:18292340). In solution has been shown to be a pentamer (PubMed:23456886). {ECO:0000269|PubMed:17588214, ECO:0000269|PubMed:18292340, ECO:0000269|PubMed:23456886}.
P76555	25,418	b2460 JW2444	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q187N7}.
P0AEK4	27,864	b1288 JW1281	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10201369, ECO:0000269|PubMed:10398587, ECO:0000269|PubMed:10493822, ECO:0000269|PubMed:10595560, ECO:0000269|PubMed:11514139, ECO:0000269|PubMed:12109908, ECO:0000269|PubMed:12699381, ECO:0000269|PubMed:8953047}.
P15028	33,146	b4290 JW4250	
P0AAJ5	33,100	b3893 JW3864	SUBUNIT: Formate dehydrogenase is a membrane-bound complex, formed by subunits alpha, beta and gamma.
P11553	52,259	b2803 JW2774	
P11663	19,272	b2929 JW2896	
P37180	43,602	b2995 JW5494	
P0AC96	46,416	b4476 JW5686	
P0A6F5	57,329	b4143 JW4103	SUBUNIT: Forms a cylinder of 14 subunits composed of two heptameric rings stacked back-to-back (PubMed:1361169, PubMed:15327959, PubMed:7935790, PubMed:8846220, PubMed:9285585). Interacts with the co-chaperonin GroES (PubMed:1361169, PubMed:7638600, PubMed:7638601, PubMed:8618836, PubMed:8663256, PubMed:9285585, PubMed:25174333). Can form asymmetrical complexes, composed of one GroEL and one GroES, and symmetrical complexes, formed between one GroEL and two GroES oligomers (PubMed:1361169, PubMed:7638600, PubMed:7638601, PubMed:8618836, PubMed:8663256, PubMed:25174333). The asymmetrical complex is the functional unit (PubMed:7638600, PubMed:7638601, PubMed:25912285). It was suggested that the symmetric heterooligomer may represent a transient intermediate in the chaperonin protein folding cycle (PubMed:8618836, PubMed:8663256). Another study shows that the symmetric heterooligomers are substantially populated only in the presence of proteins that cannot be folded by the chaperonin (PubMed:25912285). {ECO:0000269|PubMed:1361169, ECO:0000269|PubMed:15327959, ECO:0000269|PubMed:25174333, ECO:0000269|PubMed:25912285, ECO:0000269|PubMed:7638600, ECO:0000269|PubMed:7638601, ECO:0000269|PubMed:7935790, ECO:0000269|PubMed:8618836, ECO:0000269|PubMed:8663256, ECO:0000269|PubMed:8846220, ECO:0000269|PubMed:9285585}.
P76251	40,315	b1800 JW1789	
P76250	34,631	b1799 JW1788	
P0AC13	30,615	b3177 JW3144	SUBUNIT: Homodimer. {ECO:0000269|PubMed:4304228, ECO:0000269|PubMed:9187658}.
P0ABF6	31,540	b2143 JW2131	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01558, ECO:0000269|PubMed:8289286, ECO:0000269|PubMed:8634261, ECO:0000269|PubMed:9125497}.
P77390	40,077	b0618 JW0610	
P0A9I1	33,110	b0616 JW0608	SUBUNIT: Oligomer with a subunit composition of (alpha,beta,gamma)6. {ECO:0000250}.
P76175	44,153	b1592 JW5263	
P64467	8,417	b1625 JW1617	SUBUNIT: Forms complexes with both H-NS and StpA. {ECO:0000269|PubMed:15458420, ECO:0000269|PubMed:16199570, ECO:0000269|PubMed:21600204}.
P36837	53,575	b3496 JW3463	
P00816	17,049	b0340 JW0331	SUBUNIT: Homodecamer composed of five homodimers.
P75856	25,389	b0939 JW0922	
P0A8N7	36,976	b4155 JW4116	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00174, ECO:0000269|PubMed:20729861, ECO:0000269|PubMed:20823541}.
P68644	45,703	b0043 JW0042	
P75933	23,519	b1072 JW1059	
P45523	28,882	b3347 JW3309	
P52627	21,658	b1921 JW1906	
Q47129	34,620	b1384 JW1379	
P24183	112,963	b1474 JW1470	SUBUNIT: Trimer of heterotrimers, consisting of subunits alpha, beta and gamma. {ECO:0000269|PubMed:11884747}.
P10384	48,542	b2344 JW2341	SUBUNIT: Has been isolated from outer membrane preparation as a homodimer.
P10121	54,513	b3464 JW3429	SUBUNIT: Part of the signal recognition particle protein translocation system, which is composed of SRP and FtsY. SRP is a ribonucleoprotein composed of Ffh and a 4.5S RNA molecule. Binds to SecY. {ECO:0000255|HAMAP-Rule:MF_00920, ECO:0000269|PubMed:21330537, ECO:0000269|PubMed:9305630}.
P0AC23	30,991	b0904 JW0887	
P0A9E5	27,967	b1334 JW1328	SUBUNIT: Homodimer.
P0C8J6	30,812	b2096 JW5343	SUBUNIT: Forms a complex with GatZ. {ECO:0000305|PubMed:11976750}.
P0AER0	29,780	b3927 JW3898	SUBUNIT: Homotetramer. {ECO:0000305}.
P09391	31,307	b3424 JW5687	
P46481	73,591	b3240 JW3209	
P0AE24	51,684	b2841 JW2809	
P02924	35,541	b1901 JW1889	
P0A6C5	49,195	b2818 JW2786	SUBUNIT: Homohexamer. {ECO:0000305|PubMed:16890}.
P05052	28,763	b0564 JW0553	
P77610	54,233	b1453 JW5234	
P0AB93	45,497	b3502 JW3469	
P76472	33,112	b2256 JW2250	
P0A6J8	39,316	b0381 JW0372	
P0AEF4	25,453	b0620 JW0612	
P0A6N4	20,591	b4147 JW4107	SUBUNIT: Binds 30S, 50S and 70S ribosomes, possibly near the A site, note that T.thermophilus structures show binding between the P and E sites (PDB 3HUW and 3HUY). Proportionally less EF-P binds to larger polysomes, suggesting it has a role early in translation. It is present in 1 copy per 10 ribosomes. {ECO:0000269|PubMed:20729861}.
P0ABU5	22,982	b3209 JW3176	SUBUNIT: Homodimer. {ECO:0000305|PubMed:16021622, ECO:0000305|Ref.7}.
P0ABV2	15,527	b3005 JW2973	SUBUNIT: The accessory proteins ExbB and ExbD seem to form a complex with TonB.
P0ACL2	29,836	b3094 JW3065	
P0CB39	66,610	b3955 JW3927	SUBUNIT: Forms a complex with an unidentified protein of approximately 36 kDa. {ECO:0000269|PubMed:16079137}.
P0AAI5	43,046	b1095 JW1081	SUBUNIT: Homodimer. {ECO:0000269|PubMed:9013860, ECO:0000269|PubMed:9482715}.
P15070	14,855	b1946 JW1930	
P0AEK7	25,368	b1476 JW1472	SUBUNIT: Trimer of heterotrimers, consisting of subunits alpha, beta and gamma. {ECO:0000269|PubMed:11884747}.
P0ADH7	23,116	b4313 JW4276	
P46859	19,543	b3437 JW3400	
P75797	56,470	b0830 JW5111	SUBUNIT: The complex is composed of two ATP-binding proteins (GsiA), two transmembrane proteins (GsiC and GsiD) and a solute-binding protein (GsiB) (Probable). In the presence of glutathione, interacts with the transmembrane proteins GsiC and GsiD (PubMed:30515393). {ECO:0000269|PubMed:30515393, ECO:0000305|PubMed:16109926}.
P0A8R9	31,746	b4480 JW5607	
P0A6J1	22,321	b2750 JW2720	
P52612	49,316	b1941 JW1925	
P15029	34,131	b4288 JW4248	
P23484	19,480	b4293 JW4253	
P24186	31,044	b0529 JW0518	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01576, ECO:0000269|PubMed:10386884, ECO:0000269|PubMed:1748668}.
P33195	104,376	b2903 JW2871	SUBUNIT: The glycine cleavage system is composed of four proteins: P, T, L and H. {ECO:0000255|HAMAP-Rule:MF_00711, ECO:0000269|PubMed:8375392}.
P0AFP6	26,892	b0710 JW0700	SUBUNIT: Toroid-shaped homohexamer. In the hexamer, 3 dimers assemble to form a ring-like structure surrounding a central hole. {ECO:0000269|PubMed:14519207}.
P0AC92	6,576	b4517 JW0976	
P28721	26,352	b3214 JW3181	
P0CF53	34,398	b0361 JW0352	
P0CF54	34,398	b1402 JW1397	
P0CF59	34,398	ECOK12F020	
P0CF67	11,543	b0373 JW5050	
P0CF68	11,543	b0540 JW5074	
P0CF69	11,543	b1027 JW5144	
P0CF70	11,543	b2088 JW5341	
P76641	50,244	b2883 JW5466	
P30128	18,527	b3406 JW3369	
P0CE64	37,851	JW5936	
A0A385XJE6	37,851	b4711	
P23893	45,366	b0154 JW0150	SUBUNIT: Homodimer. {ECO:0000269|PubMed:2045363}.
P15081	12,953	b2706 JW2675	
P75981	28,233	b1152 JW5170	
P76056	47,539	b1345 JW1339	
P06715	48,773	b3500 JW3467	SUBUNIT: Homodimer.
P41443	18,565	b3329 JW3291	SUBUNIT: Type II secretion is composed of four main components: the outer membrane complex, the inner membrane complex, the cytoplasmic secretion ATPase and the periplasm-spanning pseudopilus. Interacts with core component GspG. {ECO:0000250|UniProtKB:Q00515}.
P0AEW9	33,756	b2168 JW2155	SUBUNIT: Homodimer. {ECO:0000269|Ref.6}.
P0ABE5	20,286	b1418 JW5224	SUBUNIT: Monomer.
P0A6F9	10,387	b4142 JW4102	SUBUNIT: Heptamer of 7 subunits arranged in a ring (PubMed:1361169, PubMed:9285585). Interacts with the chaperonin GroEL (PubMed:1361169, PubMed:7638600, PubMed:7638601, PubMed:8618836, PubMed:8663256, PubMed:9285585, PubMed:25174333). Can form asymmetrical complexes, composed of one GroEL and one GroES, and symmetrical complexes, formed between one GroEL and two GroES oligomers (PubMed:1361169, PubMed:7638600, PubMed:7638601, PubMed:8618836, PubMed:8663256, PubMed:25174333). The asymmetrical complex is the functional unit (PubMed:7638600, PubMed:7638601, PubMed:25912285). It was suggested that the symmetric heterooligomer may represent a transient intermediate in the chaperonin protein folding cycle (PubMed:8618836, PubMed:8663256). Another study shows that the symmetric heterooligomers are substantially populated only in the presence of proteins that cannot be folded by the chaperonin (PubMed:25912285). {ECO:0000269|PubMed:1361169, ECO:0000269|PubMed:25174333, ECO:0000269|PubMed:25912285, ECO:0000269|PubMed:7638600, ECO:0000269|PubMed:7638601, ECO:0000269|PubMed:8618836, ECO:0000269|PubMed:8663256, ECO:0000269|PubMed:9285585}.
P0AE67	14,097	b1882 JW1871	SUBUNIT: Interacts (phosphorylated CheY) with CheZ (via C-terminus). {ECO:0000269|PubMed:12080332, ECO:0000269|PubMed:9437425}.
P0ABG1	31,454	b0175 JW5810	
P25736	26,709	b2945 JW2912	
P0A9D4	29,317	b3607 JW3582	SUBUNIT: Homohexamer; dimer of a homotrimer (PubMed:10617639). Forms a cysteine synthase complex with 2 copies of CysK (By similarity). {ECO:0000250|UniProtKB:P29847, ECO:0000269|PubMed:10617639}.
P0AAB6	32,829	b2042 JW2027	
P0A9A6	40,324	b0095 JW0093	SUBUNIT: Homodimer. Polymerizes to form a dynamic ring structure in a strictly GTP-dependent manner. Polymers persist as long as GTP is present and disappear rapidly as soon as it is consumed. Interacts directly with several other division proteins, including FtsA and ZipA. Interacts with polymerization inhibitors SulA, CbtA and CptA. Interacts with MreB and polymerization bundling-enhancing factor CbeA. Interacts with CbtA, YkfI and YpjF (PubMed:28257056). {ECO:0000269|PubMed:10231484, ECO:0000269|PubMed:10880432, ECO:0000269|PubMed:14705956, ECO:0000269|PubMed:14731269, ECO:0000269|PubMed:17307852, ECO:0000269|PubMed:21166897, ECO:0000269|PubMed:22239607, ECO:0000269|PubMed:22515815, ECO:0000269|PubMed:28257056, ECO:0000269|PubMed:8016071, ECO:0000269|PubMed:8169229, ECO:0000269|PubMed:8752322, ECO:0000269|PubMed:8917533, ECO:0000269|PubMed:9430638}.
P0A9S1	40,513	b2799 JW2770	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15995211}.
P11551	47,545	b2801 JW2772	
P0ACK8	27,362	b2805 JW2776	
P0A9C3	38,190	b0756 JW0739	
P0AEN1	26,242	b3844 JW3820	SUBUNIT: Monomer. {ECO:0000269|PubMed:1601132}.
P0AEP1	50,983	b2943 JW2910	
P03024	37,094	b2837 JW2805	SUBUNIT: Homodimer.
P0AC33	60,299	b1612 JW1604	SUBUNIT: Homodimer. {ECO:0000269|PubMed:1329945, ECO:0000269|PubMed:3282546}.
P14407	60,105	b4122 JW4083	SUBUNIT: Homodimer. {ECO:0000269|PubMed:23405168, ECO:0000269|PubMed:3282546}.
P25748	37,357	b2151 JW2138	SUBUNIT: Homodimer.
P05042	50,489	b1611 JW1603	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00743, ECO:0000269|PubMed:12021453, ECO:0000269|PubMed:1917897, ECO:0000269|PubMed:3282546, ECO:0000269|PubMed:8496960, ECO:0000269|PubMed:8909293, ECO:0000269|PubMed:9098893}.
P0AB87	23,775	b2800 JW2771	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00987, ECO:0000269|PubMed:10821675, ECO:0000269|PubMed:11054289, ECO:0000269|PubMed:15299567, ECO:0000269|PubMed:8515438, ECO:0000269|PubMed:8676381}.
P25526	51,720	b2661 JW2636	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:20174634}.
P0A9A9	16,795	b0683 JW0669	SUBUNIT: Homodimer. {ECO:0000250}.
P25437	39,359	b0356 JW0347	SUBUNIT: Homodimer. {ECO:0000269|PubMed:1731906}.
P0A9B2	35,532	b1779 JW1768	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10978154, ECO:0000269|PubMed:19542219, ECO:0000269|PubMed:8636984}.
P63235	55,077	b1492 JW1487	SUBUNIT: Monomer. {ECO:0000269|PubMed:22407317}.
P06136	31,434	b0093 JW0091	SUBUNIT: Part of a complex composed of FtsB, FtsL and FtsQ. The complex can be formed before its localization to the division site. This tripartite complex can be divided further into a subcomplex of FtsB and FtsL, which forms in the absence of FtsQ. Interacts with FtsA, FtsK, FtsL, FtsB, FtsW, FtsI, FtsN, FtsX and YmgF. {ECO:0000255|HAMAP-Rule:MF_00911, ECO:0000269|PubMed:15165235, ECO:0000269|PubMed:15774864, ECO:0000269|PubMed:17185541, ECO:0000269|PubMed:19233928}.
P63204	20,599	b3512 JW3480	
P0AAP3	10,318	b0357 JW0348	
P63201	28,028	b3515 JW3483	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12446650}.
P37639	31,563	b3516 JW3484	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12446650}.
P0ACB0	52,390	b4052 JW4012	SUBUNIT: Homohexamer.
Q46857	31,110	b3012 JW5499	SUBUNIT: Monomer.
P0ABT2	18,695	b0812 JW0797	SUBUNIT: Homododecamer. The 12 subunits form a hollow sphere into which the mineral iron core of up to 500 Fe(3+) can be deposited. {ECO:0000269|PubMed:9546221, ECO:0000269|Ref.20}.
P08555	47,163	b2365 JW2362	
P0A6E6	15,068	b3731 JW3709	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c. {ECO:0000269|PubMed:16079137}.
P75989	28,265	b1162 JW1149	SUBUNIT: Interacts with BluF. {ECO:0000269|PubMed:19240136, ECO:0000269|PubMed:22783906}.
P13000	24,140	b0778 JW0761	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00336, ECO:0000269|PubMed:4921568, ECO:0000269|PubMed:7669756, ECO:0000269|PubMed:7881906, ECO:0000269|PubMed:8081756, ECO:0000269|PubMed:9576910, ECO:0000269|PubMed:9865950}.
Q47083	35,856	b1987 JW1966	
P0A9P6	70,546	b3162 JW5531	SUBUNIT: Interacts with the 50S ribosomal subunit upon shifting to 15 degrees Celsius. Also found associated with the RNA degradosome at 15 degrees Celsius; binds RNase E (rne). {ECO:0000269|PubMed:15148362, ECO:0000269|PubMed:15554978, ECO:0000269|PubMed:8552679}.
P75925	20,736	b1057 JW1044	
P0AEA2	30,557	b1037 JW1020	
P23845	52,558	b2751 JW2721	SUBUNIT: Heterodimer composed of CysD, the smaller subunit, and CysN. {ECO:0000255|HAMAP-Rule:MF_00062}.
P0ABF4	9,866	b2457 JW2441	SUBUNIT: Homohexamer with a central pore of up to 8.6 Angstroms diameter. The hexamers pack into a two-dimensional array (PubMed:20851901, PubMed:20044574). Interacts with EutQ (By similarity). {ECO:0000250|UniProtKB:P41791, ECO:0000269|PubMed:20044574, ECO:0000269|PubMed:20851901}.
P63746	11,650	b2462 JW2446	SUBUNIT: Homohexamer with a central pore; the hexamer is not symmetric, it is bent by about 40 degrees; bending depends on Gly-39 (PubMed:20044574). Interacts with the N-terminus of EutC and of EutE, targeting them to the interior of the BMC (By similarity). {ECO:0000250|UniProtKB:Q9ZFV7, ECO:0000269|PubMed:20044574}.
P36547	40,160	b2437 JW2430	
P65643	30,172	b2459 JW2443	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q9ZFV4}.
P09030	30,969	b1749 JW1738	SUBUNIT: Monomer.
P75717	10,509	b0539 JW0526	
P15031	28,191	b4287 JW4247	
P80668	53,699	b1385 JW1380	SUBUNIT: Homodimer.
P32055	36,141	b2052 JW2037	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11021971, ECO:0000269|PubMed:9817848, ECO:0000269|PubMed:9862812}.
P21151	40,876	b3845 JW5578	SUBUNIT: Heterotetramer of two alpha chains (FadB) and two beta chains (FadA). {ECO:0000269|PubMed:368024}.
P0AC30	38,544	b3462 JW3427	SUBUNIT: Forms a membrane-associated complex with FtsE.
P17169	66,894	b3729 JW3707	SUBUNIT: Homodimer.
P0A9D2	22,868	b1635 JW1627	SUBUNIT: Homodimer. {ECO:0000269|PubMed:14635120, ECO:0000269|PubMed:2185038, ECO:0000269|PubMed:7798255, ECO:0000269|PubMed:9680481}.
P0CE63	37,851	JW5935	
P37651	41,700	b3531 JW3499	
Q46915	48,850	b2788 JW2759	
P37326	44,061	b2349 JW2345	
P04079	58,679	b2507 JW2491	SUBUNIT: Homodimer.
P25552	54,871	b3779 JW5603	
P09126	27,798	b3804 JW3776	SUBUNIT: Monomer.
P21179	84,163	b1732 JW1721	SUBUNIT: Homotetramer.
P63264	11,512	b0999 JW0984	
P0ABN9	47,935	b4123 JW4084	
P0A6F1	41,431	b0032 JW0030	SUBUNIT: Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate. Tetramer of heterodimers (alpha,beta)4.
P17410	32,968	b1735 JW1724	SUBUNIT: Homodimer. {ECO:0000305|PubMed:15066032}.
P17411	50,513	b1734 JW1723	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10572139}.
P0AE95	14,879	b1039 JW1022	
P17583	41,361	b0341 JW0332	
P29680	39,248	b3997 JW3961	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00218}.
P04949	51,295	b1923 JW1908	
P0A8J2	19,455	b4362 JW4326	
P15723	59,383	b0160 JW0156	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00030, ECO:0000269|PubMed:2826481}.
P69910	52,668	b1493 JW1488	SUBUNIT: Homohexamer composed of three dimers. {ECO:0000269|PubMed:12912902}.
P0A6C1	31,480	b2159 JW2146	SUBUNIT: Monomer.
P75857	95,242	b0940 JW0923	
P45756	55,298	b3323 JW3285	
P03825	15,876	b3322 JW3284	
P45757	30,038	b3324 JW3286	
P0A6R0	33,515	b1091 JW1077	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01815}.
P08190	17,317	b4319 JW4282	
P0AEM6	27,521	b1922 JW1907	
P13024	34,747	b3891 JW3862	
P32177	30,560	b3895 JW3866	SUBUNIT: Homodimer (PubMed:25649206). Interacts with IscS (PubMed:22194618). {ECO:0000269|PubMed:22194618, ECO:0000269|PubMed:25649206}.
P26608	14,950	b1925 JW1910	
P28861	27,751	b3924 JW3895	SUBUNIT: Monomer. {ECO:0000269|PubMed:9149148}.
P04128	18,111	b4314 JW4277	
P21345	47,159	b4077 JW4038	
P77454	32,903	b0485 JW0474	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00313, ECO:0000269|PubMed:18459799}.
P30126	22,487	b0071 JW0070	SUBUNIT: Heterodimer of LeuC and LeuD. {ECO:0000250}.
P0AD89	2,894	b3707 JW3685	
P0A9M0	87,438	b0439 JW0429	SUBUNIT: Homohexamer. Organized in a ring with a central cavity. ATP binding and hydrolysis do not affect the oligomeric state of the enzyme. {ECO:0000255|HAMAP-Rule:MF_01973, ECO:0000269|PubMed:16511355}.
P60720	23,883	b0630 JW5089	SUBUNIT: Monomer or homotrimer. Both forms are active. {ECO:0000269|PubMed:15642479}.
P08201	93,121	b3365 JW3328	SUBUNIT: Homodimer which associates with NirD.
P0AF01	24,939	b0764 JW0747	
P0A734	10,235	b1174 JW1163	
P0AF10	21,990	b3601 JW3575	SUBUNIT: Homodimer. Can also form higher level multimer aggregates. {ECO:0000269|PubMed:19840941}.
P60293	50,579	b0922 JW0905	SUBUNIT: Interacts, and probably forms a ternary complex, with MukE and MukB via its C-terminal region. The complex formation is stimulated by calcium or magnesium. It is required for an interaction between MukE and MukB. {ECO:0000269|PubMed:10545099, ECO:0000269|PubMed:20921377}.
P0A744	23,315	b4219 JW4178	
P33594	29,722	b3480 JW3445	SUBUNIT: The complex is composed of two ATP-binding proteins (NikD and NikE), two transmembrane proteins (NikB and NikC) and a solute-binding protein (NikA). {ECO:0000255|HAMAP-Rule:MF_01712}.
P0A8G6	20,846	b1004 JW0989	SUBUNIT: Homodimer and homotetramer; in equilibrium. {ECO:0000269|PubMed:17209564, ECO:0000269|PubMed:17951395, ECO:0000269|PubMed:19665595, ECO:0000269|PubMed:9694845}.
P28903	80,023	b4238 JW4197	SUBUNIT: Homodimer (PubMed:1460049, PubMed:8621608). Forms a tetramer composed of two NrdD and two NrdG subunits (PubMed:8621608, PubMed:9305874). {ECO:0000269|PubMed:1460049, ECO:0000269|PubMed:8621608, ECO:0000269|PubMed:9305874}.
P08371	20,520	b2825 JW5451	
P08372	12,004	b2823 JW2791	
P27298	77,167	b3498 JW3465	
P37057	8,430	b2082 JW2067	
P18133	45,897	b0931 JW0914	
P76611	5,438	b2648 JW5423	
P43671	60,520	b0951 JW0934	SUBUNIT: Homohexamer (PubMed:28388411). May form a complex composed of PqiA, PqiB and PqiC. Interacts with PqiC (PubMed:27795327). {ECO:0000269|PubMed:27795327, ECO:0000269|PubMed:28388411}.
P07013	11,442	b4201 JW4159	SUBUNIT: Component of the preprimosomal complex composed of one monomer of PriC and DnaT, two monomers of PriA, two dimers of PriB and one hexamer of DnaB. Upon transient interaction with DnaG it forms the primosome. {ECO:0000255|HAMAP-Rule:MF_00720, ECO:0000269|PubMed:8663106}.
P12998	41,594	b0776 JW0759	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10642176, ECO:0000269|PubMed:16557306, ECO:0000269|PubMed:9813126}.
P03004	52,551	b3702 JW3679	SUBUNIT: Some 20 DnaA protein molecules bind their sites in oriC. Forms the RIDA (regulatory inactivation of DnaA) complex with ATP-DnaA, ADP-Hda and the DNA-loaded sliding beta clamp (dnaN). Interacts with DiaA; this stimulates the association of DnaA with the origin of replication. {ECO:0000269|PubMed:17699754, ECO:0000269|PubMed:18977760}.
P0AEW4	30,938	b3032 JW3000	
P0AAK4	19,026	b2713 JW2683	
P0A6B7	45,090	b2530 JW2514	SUBUNIT: Homodimer. The homodimer interacts with IscU and TusA, other S acceptors. Each subunit of the IscS dimer contacts a IscU monomer. {ECO:0000269|PubMed:11577100, ECO:0000269|PubMed:12860127, ECO:0000269|PubMed:16387657, ECO:0000269|PubMed:22203963}.
P03023	38,590	b0345 JW0336	SUBUNIT: Homotetramer.
P76114	25,151	b1450 JW1445	
P28635	29,432	b0197 JW0193	
P31547	23,256	b0198 JW0194	
P0C0S1	30,896	b2924 JW2891	SUBUNIT: Homoheptamer. {ECO:0000269|PubMed:12446901, ECO:0000269|PubMed:12767977, ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:23012406, ECO:0000269|PubMed:23074248, ECO:0000269|PubMed:23339071, ECO:0000269|PubMed:26551077}.
P76270	18,122	b1832 JW1821	
P24202	33,520	b4351 JW4314	
P76082	27,237	b1393 JW1388	
P77467	28,405	b1394 JW1389	
P76083	51,733	b1395 JW1390	SUBUNIT: Homotrimer. {ECO:0000305}.
P76084	14,851	b1396 JW1391	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:16464851}.
P0C7L2	42,277	b1397 JW1392	
P76085	48,953	b1398 JW5218	SUBUNIT: Monomer. {ECO:0000250}.
P28305	29,715	b1096 JW1082	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10876155, ECO:0000269|PubMed:11841211, ECO:0000269|PubMed:1644759, ECO:0000269|PubMed:2251281}.
P76242	41,208	b1791 JW1780	
P31061	21,404	b1548 JW1541	
P0A9I8	12,284	b3366 JW3329	SUBUNIT: Associates with NirB.
P0AFH6	33,022	b1245 JW1237	
P76045	34,913	b1319 JW1312	SUBUNIT: Monomer.
P75920	44,690	b1047 JW1034	
P0A780	15,689	b0416 JW0406	SUBUNIT: Monomer in solution (PubMed:10881193, PubMed:16109710). Forms a heterodimer with the ribosomal protein S10 (PubMed:1731086, PubMed:11884128, PubMed:16109710, PubMed:19111659). The rRNA transcription and antitermination complex (rrnTAC) consists of RNAP, NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:32871103). {ECO:0000269|PubMed:10881193, ECO:0000269|PubMed:11884128, ECO:0000269|PubMed:16109710, ECO:0000269|PubMed:1731086, ECO:0000269|PubMed:19111659, ECO:0000269|PubMed:32871103}.
Q6BF16	21,391	b4477 JW5628	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:17981470}.
P33013	43,346	b2010 JW5329	
P18775	90,399	b0894 JW5118	SUBUNIT: Heterotrimeric enzyme composed of a catalytic heterodimer (DmsAB) and a membrane anchor protein (DmsC). {ECO:0000269|PubMed:3280546}.
